Distance,Correlation,Abs_Correlation
Distance (32 to 38),-0.620431206818922,0.620431206818922
Distance (23 to 47),-0.6202936990141806,0.6202936990141806
Distance (20 to 32),-0.6202588835287254,0.6202588835287254
Distance (21 to 47),-0.619990108801976,0.619990108801976
Distance (25 to 47),-0.6199136052491945,0.6199136052491945
Distance (43 to 46),-0.6198814761038035,0.6198814761038035
Distance (37 to 40),-0.6196640017507755,0.6196640017507755
Distance (22 to 29),-0.6195219705993463,0.6195219705993463
Distance (22 to 43),-0.619240901252094,0.619240901252094
Distance (23 to 43),-0.6189413742978771,0.6189413742978771
Distance (23 to 29),-0.618507520833275,0.618507520833275
Distance (19 to 41),-0.618482856699364,0.618482856699364
Distance (19 to 40),-0.6170709793049076,0.6170709793049076
Distance (23 to 42),-0.6167069230059434,0.6167069230059434
Distance (21 to 32),-0.6167034990562515,0.6167034990562515
Distance (22 to 46),-0.6164026584477428,0.6164026584477428
Distance (22 to 25),-0.6161307608808252,0.6161307608808252
Distance (38 to 47),-0.6158318566292273,0.6158318566292273
Distance (24 to 36),-0.6157374492315811,0.6157374492315811
Distance (37 to 41),-0.6157344852636617,0.6157344852636617
Distance (42 to 47),-0.6152094087681543,0.6152094087681543
Distance (24 to 42),-0.6142348655781869,0.6142348655781869
Distance (19 to 32),-0.6141073835964357,0.6141073835964357
Distance (43 to 48),-0.6140296041696304,0.6140296041696304
Distance (42 to 45),-0.61395426981346,0.61395426981346
Distance (37 to 39),-0.6139023486684366,0.6139023486684366
Distance (22 to 26),-0.6137407017299368,0.6137407017299368
Distance (20 to 47),-0.6136269661462818,0.6136269661462818
Distance (20 to 29),-0.6134259963857952,0.6134259963857952
Distance (36 to 46),-0.6131966943205345,0.6131966943205345
Distance (19 to 42),-0.6129780848834219,0.6129780848834219
Distance (18 to 32),-0.6126842530824701,0.6126842530824701
Distance (39 to 47),-0.6126370499881696,0.6126370499881696
Distance (57 to 66),-0.6126061718452758,0.6126061718452758
Distance (20 to 28),-0.6125654023919161,0.6125654023919161
Distance (35 to 45),-0.6124761288374224,0.6124761288374224
Distance (21 to 30),-0.6124214714584064,0.6124214714584064
Distance (23 to 36),-0.6123271287665916,0.6123271287665916
Distance (36 to 44),-0.6120623213132143,0.6120623213132143
Distance (32 to 39),-0.6120592104081334,0.6120592104081334
Distance (23 to 41),-0.6120585716308797,0.6120585716308797
Distance (25 to 36),-0.6120354846817795,0.6120354846817795
Distance (25 to 42),-0.6118138495203425,0.6118138495203425
Distance (21 to 48),-0.6116731589377032,0.6116731589377032
Distance (21 to 37),-0.611233870884542,0.611233870884542
